C#CCNC.CCCCCBr.CCO.CCOCC.O=C(O)C(=O)O>>C#CCN(C)CCCCC,organic,USPTO
CC(=O)O.CCCCCCCCCCCCOC(=O)c1ccc(O)c([N+](=O)[O-])c1.[Fe]>>CCCCCCCCCCCCOC(=O)c1ccc(O)c(N)c1,organic,USPTO
CC(=O)OC[C@H](NC(=O)OCc1ccccc1)C(=O)O.CC(C)(C)OC(=O)[C@@H]1CCCN1.CC(C)COC(=O)Cl.CN(C)C=O.CN1CCOCC1.ClCCl>>CC(=O)OC[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC(C)(C)C,organic,USPTO
C1CCOC1.CCCCc1nc2ccc([C@@H]3C[C@H]4CCC(C)(C)N4O3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nnnn2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CO>>CCCCc1nc2ccc([C@@H]3C[C@H]4CCC(C)(C)N4O3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,organic,USPTO
CN(C)C=O.NC(=O)CCl.O=C([O-])[O-]~[K+]~[K+].O=C1Nc2ccccc2C1=O>>NC(=O)CN1C(=O)C(=O)c2ccccc21,organic,USPTO
CC(NC(=O)OC(C)(C)C)c1nc2ccc(F)cc2c(C(=O)O)c1-c1ccccc1.CCN(C(C)C)C(C)C.CCOC(C)=O.CN.CN(C)C(n1n[n+]([O-])c2ncccc21)=[N+](C)C~F[P-](F)(F)(F)(F)F.CN(C)C=O>>CNC(=O)c1c(-c2ccccc2)c(C(C)NC(=O)OC(C)(C)C)nc2ccc(F)cc12,organic,USPTO
CO.CSC.Cc1cccc(NC(=O)N2CCc3c(n(Cc4ccccc4)c4ccccc34)C2)c1.O=[O+][O-]>>Cc1cccc(NC(=O)N2CCC(=O)c3ccccc3N(Cc3ccccc3)C(=O)C2)c1,organic,USPTO
CN(C)C=O.Cc1ccc(S(=O)(=O)n2ccc3c(N)c(C)ccc32)cc1.O=C1CCC(=O)N1Br>>Cc1ccc(S(=O)(=O)n2ccc3c(N)c(C)cc(Br)c32)cc1,organic,USPTO
CCOCC.CN(C(=O)OC(C)(C)C)C1=N[C@H]2[C@H](O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@H](O)[C@@H]2F)S1.ClCCl>>CN(C(=O)OC(C)(C)C)C1=N[C@H]2[C@H](O[C@H](CO[Si](C)(C)C(C)(C)C)C(=O)[C@@H]2F)S1,organic,USPTO
O=C(O)c1cc2cc(O)c(O)cc2[nH]1.O=C1C=C2CC(C(=O)O)NC2=CC1=O>>Oc1cc2cc[nH]c2cc1O,organic,USPTO
CCCN1CCC[C@@H]2c3ccc(CO)c(OC)c3OC[C@H]21.O=C(O)/C=C/C(=O)O.[Li]CCCC.c1ccc(Pc2ccccc2)cc1>>CCCN1CCC[C@@H]2c3ccc(CO)c(O)c3OC[C@H]21,organic,USPTO
C1CCOC1.CO.COC(=O)C=Cc1cccn1Cc1ccc(CCCc2nc(-c3ccccc3)oc2C)cc1.[Pd]>>COC(=O)CCc1cccn1Cc1ccc(CCCc2nc(-c3ccccc3)oc2C)cc1,organic,USPTO
CC(C)Oc1cccc(C2(C)NC(=O)NC2=O)c1.CCCc1cc(C(OCOC)(C(F)(F)F)C(F)(F)F)ccc1N1CCN(C(=O)CBr)[C@@H](C)C1>>CCCc1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1N1CCN(C(=O)CN2C(=O)NC(C)(c3ccc(OC(C)C)cc3)C2=O)[C@@H](C)C1,organic,USPTO
CC(C)(C)OC(=O)N1CC(O)C1.CCN(CC)CC.CS(C)=O.ClCCl.[Cl-]~[NH4+]>>CC(C)(C)OC(=O)N1CC(=O)C1,organic,USPTO
CN(C)C=O.O.O=C1CCC(=O)N1Cl.O=C1c2cc(Cl)ccc2-n2cncc2[C@@H]2CCCN12>>O=C1c2cc(Cl)ccc2-n2cnc(Cl)c2[C@@H]2CCCN12,organic,USPTO
C1CCOC1.Fc1cccc(CSc2nc(Cl)cc(Cl)n2)c1F.O=S(=O)(Nc1cc(OC(CO)CO)nc(SCc2cccc(F)c2F)n1)N1CCC1.O[C@@H]1CCC[C@H]1O.[H-]~[Na+]>>O[C@@H]1CCC[C@H]1c1cc(Cl)nc(SCc2cccc(F)c2F)n1,organic,USPTO
C1CCOC1.C1COCCOCCOCCOCCO1.O=C(Cl)c1ccccc1Br.[H-]~[Na+].c1ccc(-c2occ3c2[nH]c2ccccc23)cc1>>O=C(c1ccccc1Br)n1c2ccccc2c2coc(-c3ccccc3)c21,organic,USPTO
CC(C)(C)OC(=O)N1C[C@@H](F)[C@@H](Oc2ccc(-c3ncnc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)n3)cc2C#N)C(C)(C)C1.O=C1CC[C@@H](C(=O)O)N1>>CC1(C)CN(C(=O)[C@@H]2CCC(=O)N2)C[C@@H](F)[C@H]1Oc1ccc(-c2ncnc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)cc1C#N,organic,USPTO
C1=CC2C=CC1C2.C1COCCO1.[N-]=[N+]=NCC1CC(c2ccc(Br)cc2)=NO1>>Brc1ccc(C2=NOC(Cn3ccnn3)C2)cc1,organic,USPTO
CO.COc1ccc(-n2nc(N)cc2-c2ccc(OCc3ccccc3)cc2)cc1.NC=O.[BH3-]C#N~[Na+]>>COc1ccc(-n2nc(N(C)C)cc2-c2ccc(OCc3ccccc3)cc2)cc1,organic,USPTO
COC(=O)[C@H](Cc1ccc(Br)cc1)NC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O.COCCOC.O=C([O-])[O-]~[Na+]~[Na+].O=[N+]([O-])c1ccc(B(O)O)cc1.[Pd]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1>>COC(=O)[C@H](Cc1ccc(-c2ccc([N+](=O)[O-])cc2)cc1)NC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,organic,USPTO
CC(=O)c1ccc(N)cc1.Cl.N~N#CS.O>>CC(=O)c1ccc(NC(N)=S)cc1,organic,USPTO
C/C(=C\CCl)c1ccc(Br)cc1.CC1CCNCC1.CN(C)C=O>>C/C(=C\CN1CCC(C)CC1)c1ccc(Br)cc1,organic,USPTO
CCC(Br)CC.CCOc1ccccc1C(=O)NCc1coc(-c2ccc(OC(F)F)c(O)c2)n1>>CCOc1ccccc1C(=O)NCc1coc(-c2ccc(OC(F)F)c(OC(CC)CC)c2)n1,organic,USPTO
COS(=O)(=O)OC.N#N.N~O.O=[N+]([O-])c1ccc(O)cc1Cl.[H-]~[Na+]>>COc1ccc([N+](=O)[O-])c(Cl)c1,organic,USPTO
CC(=O)O.OCCCc1ccncc1.[Pd]>>OCCCC1CCNCC1,organic,USPTO
CC(=O)O.CCN(C(C)C)C(C)C.CCO.CCOC(=O)c1ccc2nc(NC3CCN(Cc4cc(OCC)c(F)c(OCC)c4)CC3)sc2c1.CCOc1cc(C=O)cc(OCC)c1-n1cccc1.[BH3-]C#N~[Na+]>>CCOC(=O)c1ccc2nc(NC3CCN(Cc4cc(OCC)c(-n5cccc5)c(OCC)c4)CC3)sc2c1,organic,USPTO
Cl.N#C[O-]~[K+].N[C@H](COC(F)F)c1ccccc1.O>>NC(=O)N[C@H](COC(F)F)c1ccccc1,organic,USPTO
CCOC=C(C(=O)OCC)C(=O)c1cc(F)c(Cl)nc1Cl.Cc1ccccc1.Nc1c(F)cc(F)cc1F>>CCOC(=O)C(=CNc1c(F)cc(F)cc1F)C(=O)c1cc(F)c(Cl)nc1Cl,organic,USPTO
Cc1ccc(S(=O)(=O)Cl)cc1.Cc1ccc(S(=O)(=O)n2ccc3c2CCC(Br)C32OCC(CO)O2)cc1.ClCCl.c1ccncc1>>Cc1ccc(S(=O)(=O)OCC2COC3(O2)c2ccn(S(=O)(=O)c4ccc(C)cc4)c2CCC3Br)cc1,organic,USPTO
